date,port,species,weight_kg,price_per_kg_usd
2024-01-05,Kingstown,lobster,27.1,29.52
2024-01-05,Kingstown,kingfish,62.3,10.61
2024-01-05,Kingstown,mahi mahi,81.4,12.15
2024-01-05,Kingstown,lionfish,12.3,6.76
2024-01-05,Kingstown,tuna,128.0,13.58
2024-01-05,Saint George's,snapper,84.4,9.9
2024-01-05,Saint George's,lobster,28.1,28.75
2024-01-05,Saint George's,kingfish,52.8,9.92
2024-01-05,Saint George's,mahi mahi,74.2,12.08
2024-01-05,Saint George's,lionfish,15.1,6.4
2024-01-05,Saint George's,tuna,122.8,15.46
2024-01-05,Roseau,snapper,103.1,8.11
2024-01-05,Roseau,lobster,29.4,29.33
2024-01-05,Roseau,kingfish,57.4,12.15
2024-01-05,Roseau,mahi mahi,117.2,12.79
2024-01-05,Roseau,lionfish,12.5,5.26
2024-01-05,Roseau,tuna,115.5,15.53
2024-01-05,Saint John's,snapper,75.7,9.41
2024-01-05,Saint John's,lobster,34.8,30.94
2024-01-05,Saint John's,kingfish,88.2,11.0
2024-01-05,Saint John's,mahi mahi,78.6,10.96
2024-01-05,Saint John's,lionfish,10.9,5.07
2024-01-05,Saint John's,tuna,111.8,14.43
2024-01-06,Castries,snapper,102.0,9.77
2024-01-06,Castries,lobster,26.9,28.99
2024-01-06,Castries,kingfish,47.9,10.7
2024-01-06,Castries,mahi mahi,68.2,10.81
2024-01-06,Castries,lionfish,12.9,4.9
2024-01-06,Castries,tuna,107.0,13.39
2024-01-06,Soufriere,snapper,95.8,9.48
2024-01-06,Soufriere,lobster,24.5,30.4
2024-01-06,Soufriere,kingfish,83.7,11.45
2024-01-06,Soufriere,mahi mahi,58.9,14.17
2024-01-06,Soufriere,lionfish,9.7,6.71
2024-01-06,Soufriere,tuna,86.6,14.73
2024-01-06,Kingstown,snapper,87.3,9.51
2024-01-06,Kingstown,lobster,31.3,28.52
2024-01-06,Kingstown,kingfish,40.8,10.16
2024-01-06,Kingstown,mahi mahi,88.0,12.31
2024-01-06,Kingstown,lionfish,14.9,7.21
2024-01-06,Kingstown,tuna,147.3,13.06
2024-01-06,Saint George's,snapper,69.2,7.9
2024-01-06,Saint George's,lobster,38.0,29.59
2024-01-06,Saint George's,kingfish,63.6,12.91
2024-01-06,Saint George's,mahi mahi,69.3,11.39
2024-01-06,Saint George's,lionfish,9.8,6.97
2024-01-06,Saint George's,tuna,132.6,14.1
2024-01-06,Roseau,snapper,83.5,8.89
2024-01-06,Roseau,lobster,32.3,31.07
2024-01-06,Roseau,kingfish,48.3,10.24
2024-01-06,Roseau,mahi mahi,88.3,12.84
2024-01-06,Roseau,lionfish,12.1,5.86
2024-01-06,Roseau,tuna,131.9,14.14
2024-01-06,Saint John's,snapper,59.4,7.95
2024-01-06,Saint John's,lobster,34.3,29.84
2024-01-06,Saint John's,kingfish,65.0,9.29
2024-01-06,Saint John's,mahi mahi,92.0,12.25
2024-01-06,Saint John's,lionfish,11.5,6.08
2024-01-06,Saint John's,tuna,103.0,13.77
2024-01-07,Castries,snapper,49.3,7.98
2024-01-07,Castries,lobster,36.4,29.78
2024-01-07,Castries,kingfish,49.3,11.48
2024-01-07,Castries,mahi mahi,97.2,11.97
2024-01-07,Castries,lionfish,14.0,5.36
2024-01-07,Castries,tuna,70.7,15.55
2024-01-07,Soufriere,snapper,76.8,9.8
2024-01-07,Soufriere,lobster,36.2,31.67
2024-01-07,Soufriere,kingfish,53.7,12.11
2024-01-07,Soufriere,mahi mahi,61.1,10.58
2024-01-07,Soufriere,lionfish,8.2,6.23
2024-01-07,Soufriere,tuna,78.0,16.66
2024-01-07,Kingstown,snapper,109.7,10.07
2024-01-07,Kingstown,lobster,32.3,30.95
2024-01-07,Kingstown,kingfish,55.0,9.97
2024-01-07,Kingstown,mahi mahi,62.9,12.63
2024-01-07,Kingstown,lionfish,12.3,6.42
2024-01-07,Kingstown,tuna,81.0,14.84
2024-01-07,Saint George's,snapper,113.1,9.41
2024-01-07,Saint George's,lobster,16.5,29.47
2024-01-07,Saint George's,kingfish,60.0,12.1
2024-01-07,Saint George's,mahi mahi,78.2,12.82
2024-01-07,Saint George's,lionfish,9.7,5.33
2024-01-07,Saint George's,tuna,95.2,15.38
2024-01-07,Roseau,snapper,58.6,8.6
2024-01-07,Roseau,lobster,19.1,31.65
2024-01-07,Roseau,kingfish,69.0,10.2
2024-01-07,Roseau,mahi mahi,86.0,12.72
2024-01-07,Roseau,lionfish,11.4,6.33
2024-01-07,Roseau,tuna,105.6,13.81
2024-01-07,Saint John's,snapper,59.0,8.07
2024-01-07,Saint John's,lobster,34.2,30.16
2024-01-07,Saint John's,kingfish,86.1,12.3
2024-01-07,Saint John's,mahi mahi,81.8,10.03
2024-01-07,Saint John's,lionfish,10.4,6.18
2024-01-07,Saint John's,tuna,152.7,14.45
2024-01-08,Castries,snapper,63.1,9.86
2024-01-08,Castries,lobster,36.3,31.26
2024-01-08,Castries,kingfish,77.6,10.12
2024-01-08,Castries,mahi mahi,74.5,12.5
2024-01-08,Castries,lionfish,14.2,5.39
2024-01-08,Castries,tuna,132.0,14.86
2024-01-08,Soufriere,snapper,49.2,9.66
2024-01-08,Soufriere,lobster,31.7,29.4
2024-01-08,Soufriere,kingfish,54.8,11.49
2024-01-08,Soufriere,mahi mahi,100.6,12.55
2024-01-08,Soufriere,lionfish,8.3,5.57
2024-01-08,Soufriere,tuna,111.0,11.53
2024-01-08,Kingstown,snapper,90.1,8.29
2024-01-08,Kingstown,lobster,27.1,28.77
2024-01-08,Kingstown,kingfish,63.9,9.88
2024-01-08,Kingstown,mahi mahi,57.5,12.04
2024-01-08,Kingstown,lionfish,13.9,5.38
2024-01-08,Kingstown,tuna,101.0,14.72
2024-01-08,Saint George's,snapper,97.4,9.04
2024-01-08,Saint George's,lobster,36.3,30.8
2024-01-08,Saint George's,kingfish,47.0,9.86
2024-01-08,Saint George's,mahi mahi,101.3,11.16
2024-01-08,Saint George's,lionfish,7.2,5.56
2024-01-08,Saint George's,tuna,110.6,14.79
2024-01-08,Roseau,snapper,123.2,8.88
2024-01-08,Roseau,lobster,17.3,29.26
2024-01-08,Roseau,kingfish,66.2,12.39
2024-01-08,Roseau,mahi mahi,70.4,11.05
2024-01-08,Roseau,lionfish,10.8,4.48
2024-01-08,Roseau,tuna,83.7,16.25
2024-01-08,Saint John's,snapper,118.9,8.33
2024-01-08,Saint John's,lobster,22.3,30.79
2024-01-08,Saint John's,kingfish,67.8,11.46
2024-01-08,Saint John's,mahi mahi,45.4,11.86
2024-01-08,Saint John's,lionfish,9.8,7.06
2024-01-08,Saint John's,tuna,50.5,14.76
2024-01-09,Castries,snapper,77.8,9.88
2024-01-09,Castries,lobster,26.7,31.15
2024-01-09,Castries,kingfish,55.7,10.31
2024-01-09,Castries,mahi mahi,66.5,13.4
2024-01-09,Castries,lionfish,10.0,6.27
2024-01-09,Castries,tuna,128.2,12.87
2024-01-09,Soufriere,snapper,90.8,8.71
2024-01-09,Soufriere,lobster,39.0,29.36
2024-01-09,Soufriere,kingfish,65.5,9.81
2024-01-09,Soufriere,mahi mahi,52.6,12.57
2024-01-09,Soufriere,lionfish,13.8,6.68
2024-01-09,Soufriere,tuna,48.2,15.56
2024-01-09,Kingstown,snapper,97.6,9.36
2024-01-09,Kingstown,lobster,43.4,30.89
2024-01-09,Kingstown,kingfish,62.0,9.94
2024-01-09,Kingstown,mahi mahi,72.9,12.93
2024-01-09,Kingstown,lionfish,7.0,6.34
2024-01-09,Kingstown,tuna,98.5,13.3
2024-01-09,Saint George's,snapper,108.3,8.83
2024-01-09,Saint George's,lobster,20.7,29.08
2024-01-09,Saint George's,kingfish,65.7,11.66
2024-01-09,Saint George's,mahi mahi,47.1,11.1
2024-01-09,Saint George's,lionfish,12.7,7.36
2024-01-09,Saint George's,tuna,123.0,13.31
2024-01-09,Roseau,snapper,103.0,8.07
2024-01-09,Roseau,lobster,31.6,29.87
2024-01-09,Roseau,kingfish,73.6,12.33
2024-01-09,Roseau,mahi mahi,98.1,12.25
2024-01-09,Roseau,lionfish,12.0,6.39
2024-01-09,Roseau,tuna,161.8,14.18
2024-01-09,Saint John's,snapper,96.7,9.07
2024-01-09,Saint John's,lobster,23.9,30.91
2024-01-09,Saint John's,kingfish,68.4,11.2
2024-01-09,Saint John's,mahi mahi,67.3,11.65
2024-01-09,Saint John's,lionfish,11.0,4.46
2024-01-09,Saint John's,tuna,99.9,15.12
2024-01-10,Castries,snapper,100.2,8.69
2024-01-10,Castries,lobster,34.8,29.76
2024-01-10,Castries,kingfish,52.9,11.08
2024-01-10,Castries,mahi mahi,80.5,13.88
2024-01-10,Castries,lionfish,12.3,6.08
2024-01-10,Castries,tuna,123.7,12.69
2024-01-10,Soufriere,snapper,114.7,10.82
2024-01-10,Soufriere,lobster,29.3,29.49
2024-01-10,Soufriere,kingfish,62.5,11.39
2024-01-10,Soufriere,mahi mahi,64.7,10.41
2024-01-10,Soufriere,lionfish,11.9,5.36
2024-01-10,Soufriere,tuna,142.3,13.89
2024-01-10,Kingstown,snapper,90.6,9.15
2024-01-10,Kingstown,lobster,23.6,29.1
2024-01-10,Kingstown,kingfish,83.5,12.4
2024-01-10,Kingstown,mahi mahi,57.4,12.36
2024-01-10,Kingstown,lionfish,11.3,6.81
2024-01-10,Kingstown,tuna,131.9,13.57
2024-01-10,Saint George's,snapper,108.2,8.5
2024-01-10,Saint George's,lobster,32.4,31.66
2024-01-10,Saint George's,kingfish,67.7,11.24
2024-01-10,Saint George's,mahi mahi,97.4,11.42
2024-01-10,Saint George's,lionfish,13.6,5.79
2024-01-10,Saint George's,tuna,75.5,13.91
2024-01-10,Roseau,snapper,97.6,6.97
2024-01-10,Roseau,lobster,18.2,29.85
2024-01-10,Roseau,kingfish,60.0,10.86
2024-01-10,Roseau,mahi mahi,100.4,15.11
2024-01-10,Roseau,lionfish,11.3,6.28
2024-01-10,Roseau,tuna,96.4,15.13
2024-01-10,Saint John's,snapper,53.7,10.15
2024-01-10,Saint John's,lobster,19.0,30.35
2024-01-10,Saint John's,kingfish,65.4,9.97
2024-01-10,Saint John's,mahi mahi,77.8,13.51
2024-01-10,Saint John's,lionfish,11.8,6.26
2024-01-10,Saint John's,tuna,83.7,13.63
2024-01-11,Castries,snapper,61.1,10.45
2024-01-11,Castries,lobster,28.4,31.04
2024-01-11,Castries,kingfish,71.7,10.63
2024-01-11,Castries,mahi mahi,84.0,13.09
2024-01-11,Castries,lionfish,15.3,3.12
2024-01-11,Castries,tuna,143.7,15.4
2024-01-11,Soufriere,snapper,94.7,8.86
2024-01-11,Soufriere,lobster,31.0,30.87
2024-01-11,Soufriere,kingfish,36.7,12.81
2024-01-11,Soufriere,mahi mahi,56.7,14.37
2024-01-11,Soufriere,lionfish,13.1,7.14
2024-01-11,Soufriere,tuna,117.6,13.56
2024-01-11,Kingstown,snapper,66.0,8.35
2024-01-11,Kingstown,lobster,35.7,29.62
2024-01-11,Kingstown,kingfish,59.6,10.88
2024-01-11,Kingstown,mahi mahi,62.7,11.5
2024-01-11,Kingstown,lionfish,15.6,7.48
2024-01-11,Kingstown,tuna,173.1,13.13
2024-01-11,Saint George's,snapper,70.5,9.17
2024-01-11,Saint George's,lobster,21.3,30.38
2024-01-11,Saint George's,kingfish,80.6,11.41
2024-01-11,Saint George's,mahi mahi,70.3,10.12
2024-01-11,Saint George's,lionfish,12.0,4.96
2024-01-11,Saint George's,tuna,118.9,14.22
2024-01-11,Roseau,snapper,50.3,7.62
2024-01-11,Roseau,lobster,24.1,30.25
2024-01-11,Roseau,kingfish,69.9,9.71
2024-01-11,Roseau,mahi mahi,66.2,12.46
2024-01-11,Roseau,lionfish,8.1,5.05
2024-01-11,Roseau,tuna,92.8,13.22
2024-01-11,Saint John's,snapper,114.7,9.2
2024-01-11,Saint John's,lobster,20.2,31.38
2024-01-11,Saint John's,kingfish,57.1,10.82
2024-01-11,Saint John's,mahi mahi,96.6,12.02
2024-01-11,Saint John's,lionfish,10.0,5.16
2024-01-11,Saint John's,tuna,107.7,14.85
2024-01-12,Castries,snapper,104.7,8.7
2024-01-12,Castries,lobster,22.7,30.81
2024-01-12,Castries,kingfish,41.0,10.74
2024-01-12,Castries,mahi mahi,86.9,10.96
2024-01-12,Castries,lionfish,11.7,5.1
2024-01-12,Castries,tuna,92.9,13.5
2024-01-12,Soufriere,snapper,101.0,8.31
2024-01-12,Soufriere,lobster,26.0,31.45
2024-01-12,Soufriere,kingfish,76.6,12.04
2024-01-12,Soufriere,mahi mahi,73.5,11.99
2024-01-12,Soufriere,lionfish,12.9,6.03
2024-01-12,Soufriere,tuna,112.0,15.08
2024-01-12,Kingstown,snapper,127.4,9.35
2024-01-12,Kingstown,lobster,28.7,30.36
2024-01-12,Kingstown,kingfish,58.3,10.29
2024-01-12,Kingstown,mahi mahi,79.3,11.63
2024-01-12,Kingstown,lionfish,15.0,6.4
2024-01-12,Kingstown,tuna,116.4,13.46
2024-01-12,Saint George's,snapper,109.7,10.32
2024-01-12,Saint George's,lobster,33.3,29.45
2024-01-12,Saint George's,kingfish,62.1,8.07
2024-01-12,Saint George's,mahi mahi,80.3,12.84
2024-01-12,Saint George's,lionfish,8.7,6.38
2024-01-12,Saint George's,tuna,83.2,13.57
2024-01-12,Roseau,snapper,78.9,10.55
2024-01-12,Roseau,lobster,33.5,29.93
2024-01-12,Roseau,kingfish,60.3,13.54
2024-01-12,Roseau,mahi mahi,75.2,12.37
2024-01-12,Roseau,lionfish,6.1,7.27
2024-01-12,Roseau,tuna,114.1,13.34
2024-01-12,Saint John's,snapper,84.6,9.55
2024-01-12,Saint John's,lobster,32.1,29.02
2024-01-12,Saint John's,kingfish,62.2,10.91
2024-01-12,Saint John's,mahi mahi,66.5,14.01
2024-01-12,Saint John's,lionfish,13.2,4.63
2024-01-12,Saint John's,tuna,112.5,14.03
2024-01-13,Castries,snapper,98.3,8.36
2024-01-13,Castries,lobster,19.4,28.99
2024-01-13,Castries,kingfish,83.7,13.65
2024-01-13,Castries,mahi mahi,71.7,9.51
2024-01-13,Castries,lionfish,9.8,6.37
2024-01-13,Castries,tuna,136.9,14.72
2024-01-13,Soufriere,snapper,110.2,9.68
2024-01-13,Soufriere,lobster,30.5,29.77
2024-01-13,Soufriere,kingfish,49.1,9.16
2024-01-13,Soufriere,mahi mahi,61.9,11.62
2024-01-13,Soufriere,lionfish,13.9,4.21
2024-01-13,Soufriere,tuna,137.3,12.46
2024-01-13,Kingstown,snapper,116.8,8.17
2024-01-13,Kingstown,lobster,32.4,29.76
2024-01-13,Kingstown,kingfish,59.6,10.0
2024-01-13,Kingstown,mahi mahi,78.2,11.58
2024-01-13,Kingstown,lionfish,13.4,5.99
2024-01-13,Kingstown,tuna,102.9,12.39
2024-01-13,Saint George's,snapper,89.9,6.66
2024-01-13,Saint George's,lobster,30.1,29.92
2024-01-13,Saint George's,kingfish,70.7,9.28
2024-01-13,Saint George's,mahi mahi,87.9,11.81
2024-01-13,Saint George's,lionfish,13.3,5.65
2024-01-13,Saint George's,tuna,111.4,15.43
2024-01-13,Roseau,snapper,85.5,9.56
2024-01-13,Roseau,lobster,28.1,30.11
2024-01-13,Roseau,kingfish,73.6,10.74
2024-01-13,Roseau,mahi mahi,74.1,13.17
2024-01-13,Roseau,lionfish,13.1,5.52
2024-01-13,Roseau,tuna,108.4,12.87
2024-01-13,Saint John's,snapper,79.0,7.65
2024-01-13,Saint John's,lobster,30.7,30.43
2024-01-13,Saint John's,kingfish,37.7,12.0
2024-01-13,Saint John's,mahi mahi,80.5,11.32
2024-01-13,Saint John's,lionfish,10.0,4.98
2024-01-13,Saint John's,tuna,102.6,13.86
2024-01-14,Castries,snapper,105.1,11.33
2024-01-14,Castries,lobster,31.0,30.63
2024-01-14,Castries,kingfish,44.3,10.86
2024-01-14,Castries,mahi mahi,85.4,12.46
2024-01-14,Castries,lionfish,8.7,7.15
2024-01-14,Castries,tuna,119.0,12.56
2024-01-14,Soufriere,snapper,103.0,7.96
2024-01-14,Soufriere,lobster,21.4,28.78
2024-01-14,Soufriere,kingfish,57.0,12.39
2024-01-14,Soufriere,mahi mahi,83.7,11.44
2024-01-14,Soufriere,lionfish,15.3,6.3
2024-01-14,Soufriere,tuna,129.7,12.47
2024-01-14,Kingstown,snapper,99.1,8.71
2024-01-14,Kingstown,lobster,21.7,30.71
2024-01-14,Kingstown,kingfish,61.3,11.17
2024-01-14,Kingstown,mahi mahi,67.4,10.84
2024-01-14,Kingstown,lionfish,14.8,5.94
2024-01-14,Kingstown,tuna,125.7,14.0
2024-01-14,Saint George's,snapper,94.3,8.31
2024-01-14,Saint George's,lobster,31.6,29.92
2024-01-14,Saint George's,kingfish,52.9,10.73
2024-01-14,Saint George's,mahi mahi,78.3,12.39
2024-01-14,Saint George's,lionfish,11.9,4.98
2024-01-14,Saint George's,tuna,121.2,13.48
2024-01-14,Roseau,snapper,47.9,7.64
2024-01-14,Roseau,lobster,31.8,29.42
2024-01-14,Roseau,kingfish,64.6,11.44
2024-01-14,Roseau,mahi mahi,101.3,12.73
2024-01-14,Roseau,lionfish,3.2,5.12
2024-01-14,Roseau,tuna,57.9,13.79
2024-01-14,Saint John's,snapper,85.3,9.76
2024-01-14,Saint John's,lobster,33.4,30.94
2024-01-14,Saint John's,kingfish,53.1,10.18
2024-01-14,Saint John's,mahi mahi,78.2,11.53
2024-01-14,Saint John's,lionfish,10.4,7.19
2024-01-14,Saint John's,tuna,101.9,13.58
2024-01-15,Castries,snapper,96.4,8.71
2024-01-15,Castries,lobster,35.5,31.15
2024-01-15,Castries,kingfish,50.7,11.63
2024-01-15,Castries,mahi mahi,86.3,12.43
2024-01-15,Castries,lionfish,10.4,8.51
2024-01-15,Castries,tuna,116.9,14.6
2024-01-15,Soufriere,snapper,77.3,10.97
2024-01-15,Soufriere,lobster,26.8,28.92
2024-01-15,Soufriere,kingfish,45.8,10.71
2024-01-15,Soufriere,mahi mahi,52.1,11.66
2024-01-15,Soufriere,lionfish,11.8,6.92
2024-01-15,Soufriere,tuna,132.6,14.95
2024-01-15,Kingstown,snapper,108.1,11.24
2024-01-15,Kingstown,lobster,31.3,31.27
2024-01-15,Kingstown,kingfish,69.7,11.45
2024-01-15,Kingstown,mahi mahi,49.9,11.92
2024-01-15,Kingstown,lionfish,15.8,5.0
2024-01-15,Kingstown,tuna,96.2,13.94
2024-01-15,Saint George's,snapper,98.1,9.18
2024-01-15,Saint George's,lobster,29.1,28.49
2024-01-15,Saint George's,kingfish,69.8,10.56
2024-01-15,Saint George's,mahi mahi,67.4,11.39
2024-01-15,Saint George's,lionfish,13.1,3.43
2024-01-15,Saint George's,tuna,75.9,15.13
2024-01-15,Roseau,snapper,98.3,7.93
2024-01-15,Roseau,lobster,40.8,29.17
2024-01-15,Roseau,kingfish,59.5,11.71
2024-01-15,Roseau,mahi mahi,61.7,12.56
2024-01-15,Roseau,lionfish,13.1,5.14
2024-01-15,Roseau,tuna,80.9,15.4
2024-01-15,Saint John's,snapper,89.8,10.92
2024-01-15,Saint John's,lobster,34.5,30.37
2024-01-15,Saint John's,kingfish,60.4,10.19
2024-01-15,Saint John's,mahi mahi,78.8,11.4
2024-01-15,Saint John's,lionfish,15.5,7.19
2024-01-15,Saint John's,tuna,75.3,13.07
2024-01-16,Castries,snapper,73.0,9.79
2024-01-16,Castries,lobster,32.9,30.52
2024-01-16,Castries,kingfish,57.0,11.74
2024-01-16,Castries,mahi mahi,51.4,12.75
2024-01-16,Castries,lionfish,12.5,6.12
2024-01-16,Castries,tuna,101.5,11.12
2024-01-16,Soufriere,snapper,107.8,7.91
2024-01-16,Soufriere,lobster,32.2,29.11
2024-01-16,Soufriere,kingfish,67.1,10.9
2024-01-16,Soufriere,mahi mahi,86.5,11.77
2024-01-16,Soufriere,lionfish,13.3,6.33
