destination,lead_time_days,nights,guests,channel,rate_usd,is_cancelled
Punta Cana,11,3,2,booking,244.42,0
Negril,24,6,2,agent,177.38,0
Nassau,80,5,2,direct,233.47,0
Aruba,46,1,2,expedia,295.29,0
Providenciales,80,7,3,expedia,312.12,0
Castries,137,4,1,expedia,250.41,1
Punta Cana,151,3,3,direct,147.67,0
Nassau,168,6,2,direct,370.7,0
Castries,48,5,3,booking,238.0,0
Punta Cana,97,5,2,booking,143.83,0
Bridgetown,21,1,2,direct,343.79,0
Nassau,94,8,1,expedia,289.06,0
Montego Bay,127,3,3,expedia,277.82,1
Nassau,27,5,2,booking,304.08,0
Providenciales,85,1,4,expedia,366.7,0
Grand Cayman,24,7,1,booking,391.27,0
Punta Cana,56,8,4,booking,214.34,1
Nassau,38,4,2,direct,273.08,0
Castries,38,8,1,direct,273.56,0
Nassau,89,3,1,expedia,274.24,1
Negril,54,3,3,direct,231.06,0
Castries,141,2,2,booking,243.89,0
Negril,38,3,1,booking,218.54,1
Nassau,47,5,1,direct,337.42,0
Grand Cayman,46,3,2,booking,353.94,0
Aruba,83,9,1,agent,345.58,0
San Juan,72,4,1,direct,258.71,0
Bridgetown,141,5,1,booking,321.52,0
Aruba,25,4,1,booking,349.62,1
Negril,68,4,2,direct,256.4,0
Grand Cayman,41,5,3,direct,381.1,0
Providenciales,50,6,2,booking,310.98,0
Punta Cana,12,3,1,expedia,167.53,0
Montego Bay,22,3,1,booking,278.64,1
Negril,64,7,3,booking,247.86,0
Aruba,24,3,1,booking,316.74,1
Aruba,41,6,2,agent,378.33,0
Castries,164,3,1,direct,258.71,1
Providenciales,23,4,3,direct,357.35,0
San Juan,49,6,1,expedia,213.13,0
Montego Bay,13,4,2,agent,229.96,0
Bridgetown,38,8,1,booking,241.88,0
Bridgetown,11,4,2,booking,258.57,0
Punta Cana,44,5,2,agent,246.09,0
San Juan,120,6,1,booking,224.15,1
Bridgetown,10,1,2,booking,241.42,0
Castries,62,4,3,booking,278.07,1
Castries,84,4,2,direct,211.54,0
Negril,90,2,1,direct,151.51,0
San Juan,126,5,3,booking,248.74,0
Punta Cana,98,2,2,booking,138.83,0
Nassau,34,3,1,booking,335.26,0
Bridgetown,40,4,2,agent,252.61,1
Bridgetown,17,5,1,booking,254.91,1
San Juan,32,7,3,direct,243.87,0
Aruba,152,5,1,booking,308.25,1
Providenciales,141,4,2,direct,430.34,0
Providenciales,13,6,3,booking,354.11,0
Montego Bay,19,4,2,booking,277.45,0
Grand Cayman,13,7,2,booking,393.83,0
Negril,105,8,3,agent,230.81,1
Providenciales,30,5,1,agent,426.08,0
Providenciales,81,5,2,booking,296.53,0
San Juan,170,2,1,direct,291.29,0
Aruba,9,7,1,booking,306.13,0
Bridgetown,12,5,3,booking,297.14,0
Punta Cana,17,6,2,expedia,104.06,0
Negril,66,4,3,booking,179.4,0
Montego Bay,69,3,2,agent,172.32,0
Providenciales,76,4,3,agent,341.23,0
Negril,32,4,2,expedia,177.57,0
Punta Cana,81,7,1,booking,149.66,0
Providenciales,31,2,2,direct,380.25,0
Castries,79,3,2,booking,203.37,0
Castries,83,2,3,direct,244.57,0
Castries,43,6,1,booking,270.47,0
Montego Bay,66,6,3,direct,211.9,0
Punta Cana,110,6,2,direct,177.31,0
Aruba,69,7,3,agent,286.05,0
Castries,88,2,3,booking,275.31,1
Grand Cayman,130,1,3,booking,391.18,0
Bridgetown,27,1,2,booking,283.86,0
San Juan,18,3,2,agent,197.11,0
Grand Cayman,26,6,1,direct,353.55,0
Punta Cana,22,1,4,expedia,176.7,0
Aruba,23,5,1,direct,312.93,0
Castries,50,2,1,agent,274.94,0
Punta Cana,145,2,2,booking,171.1,0
Negril,28,2,2,expedia,192.91,1
Aruba,96,7,1,expedia,335.35,0
San Juan,114,7,3,agent,283.05,1
San Juan,60,5,2,booking,290.44,0
Grand Cayman,93,8,1,direct,389.05,0
Nassau,137,3,3,booking,343.22,1
Negril,85,7,1,direct,184.41,0
Aruba,105,4,2,booking,275.18,1
Punta Cana,18,6,1,direct,215.78,1
Montego Bay,141,7,2,expedia,261.86,0
San Juan,30,3,1,booking,229.5,0
Punta Cana,90,1,1,agent,198.41,0
Aruba,47,6,2,booking,334.28,0
Castries,37,7,1,booking,234.13,0
Aruba,18,5,3,booking,323.95,0
Providenciales,10,3,2,direct,439.01,0
Bridgetown,42,5,1,booking,271.59,0
Nassau,28,3,2,booking,325.08,0
San Juan,37,5,1,agent,222.7,0
Nassau,59,6,2,booking,296.64,0
Punta Cana,39,3,3,direct,129.24,0
San Juan,114,3,2,booking,271.96,0
Grand Cayman,38,4,1,direct,362.5,0
Nassau,58,3,2,expedia,357.88,1
San Juan,59,4,1,booking,196.85,0
Grand Cayman,53,4,2,agent,363.41,0
Aruba,37,2,2,booking,289.59,0
San Juan,28,3,2,booking,210.72,0
Grand Cayman,15,4,1,booking,383.13,0
Negril,27,5,1,direct,235.59,0
Montego Bay,77,6,1,direct,226.0,0
Castries,48,4,2,expedia,253.37,0
Grand Cayman,128,2,3,booking,411.87,0
Punta Cana,33,6,3,agent,176.88,0
Grand Cayman,15,4,3,booking,423.04,0
Aruba,13,3,2,direct,314.52,0
Punta Cana,21,3,1,direct,90.73,0
Punta Cana,46,3,1,booking,218.49,1
Grand Cayman,44,10,1,booking,422.52,1
Aruba,17,5,3,agent,322.05,0
Bridgetown,68,8,1,direct,242.85,0
Castries,31,8,1,agent,204.35,0
Aruba,90,2,2,booking,300.17,0
Bridgetown,108,7,2,booking,298.68,0
Negril,55,7,2,expedia,224.24,0
San Juan,24,8,2,booking,279.45,0
Negril,23,7,3,booking,199.65,0
Castries,54,6,1,direct,258.68,0
San Juan,19,2,2,agent,274.1,1
Aruba,181,2,3,direct,265.58,0
Montego Bay,43,7,1,direct,235.57,1
Negril,44,5,3,direct,280.49,0
Nassau,27,1,4,agent,361.4,0
Castries,83,6,2,agent,221.97,0
San Juan,42,3,2,agent,119.24,1
Bridgetown,160,4,1,booking,278.99,1
Grand Cayman,13,8,3,booking,319.81,1
Castries,108,2,2,booking,248.4,0
Bridgetown,21,2,1,booking,246.34,1
Montego Bay,16,5,3,direct,270.81,0
Grand Cayman,28,4,2,direct,364.26,0
Montego Bay,10,5,1,booking,132.73,0
San Juan,47,6,1,expedia,275.61,0
Aruba,26,7,3,booking,285.96,0
Bridgetown,58,5,2,booking,335.53,0
Grand Cayman,41,5,3,booking,358.11,0
Nassau,28,2,3,agent,283.21,0
Negril,56,6,3,direct,210.5,0
San Juan,30,5,2,agent,176.79,0
Bridgetown,4,6,2,direct,306.85,0
Grand Cayman,13,6,3,booking,434.29,0
Negril,87,5,1,direct,174.38,0
Montego Bay,47,4,1,booking,182.29,0
Punta Cana,45,1,3,booking,178.37,1
Bridgetown,68,3,3,direct,342.64,0
Castries,114,6,1,direct,313.8,1
San Juan,76,5,2,direct,241.54,0
Castries,109,4,2,direct,300.22,1
San Juan,19,5,1,booking,248.28,0
Nassau,95,6,2,direct,296.77,1
Punta Cana,62,5,2,direct,107.12,1
San Juan,9,6,1,booking,287.36,0
Providenciales,87,7,2,expedia,331.8,1
Montego Bay,144,1,2,expedia,211.02,0
Grand Cayman,135,8,1,agent,343.8,1
Castries,29,5,3,booking,250.31,0
Grand Cayman,1,5,1,booking,385.61,1
Providenciales,57,3,1,agent,369.86,0
Negril,75,4,3,expedia,214.48,0
Nassau,70,3,1,direct,268.07,0
Castries,7,1,1,booking,239.01,0
Aruba,128,3,1,direct,278.2,1
Montego Bay,61,3,3,direct,230.65,0
Bridgetown,69,4,1,direct,223.39,0
Montego Bay,106,1,2,direct,264.87,0
Castries,2,3,2,booking,276.69,0
Montego Bay,111,3,1,booking,259.85,1
Montego Bay,76,4,3,expedia,266.26,0
Montego Bay,157,5,1,booking,213.6,0
Castries,71,7,4,direct,301.43,0
Punta Cana,8,6,1,expedia,212.58,0
Providenciales,53,3,3,booking,364.24,0
Providenciales,17,3,1,expedia,312.25,0
Providenciales,6,2,1,direct,361.16,0
Providenciales,18,7,2,direct,391.9,0
Nassau,69,7,4,direct,352.02,0
Montego Bay,17,6,2,booking,230.79,0
Montego Bay,7,4,2,agent,244.51,0
Negril,32,4,2,agent,96.24,1
Montego Bay,104,3,1,direct,184.64,0
Providenciales,150,7,1,expedia,319.33,1
Negril,113,5,1,direct,175.89,0
Grand Cayman,27,8,1,direct,392.69,0
San Juan,70,3,2,booking,277.54,0
Providenciales,43,5,2,booking,338.9,0
San Juan,78,2,2,agent,316.36,0
San Juan,55,2,3,agent,198.98,0
Montego Bay,41,7,2,expedia,249.77,0
Montego Bay,30,4,3,agent,303.43,0
Bridgetown,31,3,1,direct,271.76,0
Bridgetown,13,5,2,direct,228.57,0
Bridgetown,46,4,2,expedia,217.32,0
Montego Bay,10,7,1,booking,214.0,0
Grand Cayman,9,5,1,booking,340.08,1
Grand Cayman,119,2,2,direct,378.94,1
Punta Cana,20,6,1,booking,200.81,0
Negril,112,2,3,booking,193.94,1
Montego Bay,40,7,1,agent,194.84,0
Nassau,22,5,2,booking,264.67,1
Nassau,48,3,3,direct,238.89,1
Punta Cana,89,7,3,booking,152.95,0
Montego Bay,62,1,2,direct,237.3,0
San Juan,38,3,2,agent,244.86,1
Negril,47,2,4,booking,269.04,1
Aruba,33,8,1,expedia,247.49,1
Montego Bay,71,4,2,agent,304.8,0
Bridgetown,35,5,1,expedia,303.67,0
Negril,34,4,1,booking,146.78,0
Aruba,114,5,1,expedia,370.6,0
Castries,104,4,1,booking,247.23,0
Aruba,155,7,3,booking,287.99,1
Providenciales,36,4,2,direct,379.46,0
Montego Bay,59,2,2,direct,145.61,0
Aruba,156,4,2,direct,354.62,0
Providenciales,63,3,2,direct,390.87,0
Providenciales,21,6,2,expedia,322.43,0
San Juan,38,3,1,booking,246.26,0
Punta Cana,13,3,3,agent,155.71,0
Negril,75,5,2,direct,186.11,0
Castries,81,1,3,booking,206.04,0
Bridgetown,144,3,3,agent,335.18,0
Bridgetown,75,1,3,direct,315.73,0
Aruba,20,7,2,booking,241.03,0
Montego Bay,21,4,4,direct,264.26,0
San Juan,142,5,1,expedia,193.73,1
Nassau,88,5,3,direct,283.52,0
Grand Cayman,37,4,1,agent,317.09,0
Grand Cayman,122,4,4,booking,399.21,0
Montego Bay,69,6,4,expedia,168.73,0
Providenciales,169,1,1,booking,333.08,0
Negril,120,7,1,agent,180.02,1
Providenciales,25,5,1,booking,313.2,0
Providenciales,52,2,2,booking,363.74,0
Bridgetown,149,5,1,agent,326.85,0
Punta Cana,168,4,2,direct,187.23,0
Nassau,74,7,2,agent,355.61,0
Bridgetown,49,5,2,expedia,203.79,0
Nassau,127,5,2,booking,238.96,1
Punta Cana,36,8,2,booking,143.39,1
Castries,51,4,1,direct,199.87,0
Punta Cana,68,5,2,direct,177.34,0
Montego Bay,19,2,2,booking,177.1,0
Providenciales,23,4,3,expedia,402.96,0
Punta Cana,27,4,2,agent,174.7,0
Aruba,66,2,1,booking,298.35,1
Negril,52,6,1,direct,197.82,0
Nassau,75,7,1,direct,334.21,0
San Juan,75,6,1,expedia,275.71,0
Castries,19,6,1,direct,229.02,1
Punta Cana,27,5,3,direct,238.17,0
Grand Cayman,218,6,1,agent,292.82,0
Bridgetown,89,6,1,booking,328.81,0
Nassau,120,4,2,booking,270.41,1
Castries,136,6,4,booking,256.93,0
Montego Bay,14,5,1,direct,183.86,0
Punta Cana,32,2,1,agent,240.66,0
Providenciales,75,3,1,booking,333.3,1
San Juan,67,8,3,direct,254.87,0
Grand Cayman,60,5,2,expedia,363.71,0
Providenciales,270,6,1,booking,351.81,1
Montego Bay,100,3,2,booking,98.03,0
Grand Cayman,169,3,2,booking,344.61,0
Aruba,185,2,3,direct,353.39,0
Providenciales,96,3,1,booking,343.86,0
Montego Bay,49,4,2,agent,192.4,0
Punta Cana,8,4,2,booking,109.88,0
Negril,15,5,1,direct,266.15,0
Bridgetown,26,6,2,agent,367.32,0
Montego Bay,52,6,2,booking,231.77,1
Nassau,150,5,3,agent,285.5,1
Negril,39,2,2,expedia,172.87,0
Providenciales,97,4,3,expedia,315.22,1
Nassau,73,4,3,expedia,294.71,0
Montego Bay,28,3,2,direct,219.27,0
Grand Cayman,99,5,1,agent,430.28,1
Castries,8,6,1,booking,265.7,0
Montego Bay,20,6,4,booking,169.4,0
San Juan,73,5,1,booking,222.53,0
San Juan,9,3,3,agent,356.91,0
Grand Cayman,35,3,1,booking,429.07,0
Bridgetown,24,2,1,booking,293.16,0
Bridgetown,89,3,2,agent,201.74,0
Providenciales,29,7,1,booking,380.08,0
Bridgetown,45,5,1,booking,261.87,0
Aruba,60,6,1,booking,238.08,1
Punta Cana,38,6,1,booking,199.61,0
Montego Bay,18,5,2,booking,219.6,0
Montego Bay,26,6,3,expedia,217.12,0
Providenciales,24,6,3,booking,396.62,1
Punta Cana,79,4,1,booking,152.17,0
Montego Bay,27,6,2,agent,279.19,0
Nassau,15,6,3,booking,295.1,0
Negril,96,3,1,expedia,231.18,0
San Juan,83,8,4,agent,282.63,0
Grand Cayman,46,4,2,expedia,436.79,0
Punta Cana,97,5,1,direct,169.24,1
Bridgetown,49,4,2,expedia,303.73,0
Negril,68,2,3,booking,184.93,1
San Juan,66,5,3,expedia,279.34,0
Nassau,19,8,2,direct,274.47,0
Nassau,110,3,1,direct,386.97,1
San Juan,47,5,1,direct,262.69,0
Aruba,68,4,2,expedia,312.73,0
Nassau,11,5,2,direct,297.36,0
Punta Cana,99,7,1,direct,209.25,0
Grand Cayman,4,6,1,booking,357.28,1
Nassau,133,4,3,direct,315.1,0
Providenciales,59,4,1,booking,325.06,0
Castries,42,4,1,booking,264.13,0
Bridgetown,42,7,2,booking,266.5,0
Nassau,100,2,1,expedia,317.2,1
Grand Cayman,45,4,1,booking,342.3,0
Aruba,85,4,2,direct,294.95,0
Grand Cayman,69,7,3,expedia,406.1,1
Montego Bay,62,3,2,booking,217.32,0
Castries,2,4,3,booking,130.78,1
San Juan,157,4,2,direct,330.17,0
Montego Bay,123,5,2,agent,198.07,1
Providenciales,88,6,1,direct,366.51,0
Nassau,33,3,2,agent,300.62,0
Negril,57,4,1,direct,185.29,0
Aruba,11,3,3,direct,301.08,0
Punta Cana,28,7,2,booking,160.2,0
Montego Bay,244,4,3,booking,167.47,1
Punta Cana,8,5,2,booking,200.29,1
Montego Bay,55,4,3,booking,153.26,1
Castries,42,5,3,expedia,171.78,0
Grand Cayman,44,5,2,booking,400.74,0
Nassau,19,7,2,booking,278.38,0
Castries,152,6,3,expedia,258.54,0
Grand Cayman,51,3,1,booking,298.0,0
Negril,91,3,2,booking,163.45,1
Nassau,80,2,1,booking,328.06,0
Montego Bay,65,3,2,direct,214.47,0
Punta Cana,134,3,3,direct,131.01,0
Grand Cayman,22,3,2,booking,422.96,0
Aruba,116,3,2,expedia,269.74,0
Montego Bay,47,8,3,direct,234.93,0
Bridgetown,20,2,2,direct,215.7,0
Bridgetown,14,8,1,agent,211.97,0
Bridgetown,87,10,1,direct,283.81,0
Providenciales,14,5,1,booking,386.13,0
Punta Cana,168,5,2,direct,168.68,0
Bridgetown,37,7,3,booking,278.25,0
Providenciales,157,6,2,booking,367.17,1
Providenciales,14,6,2,booking,425.05,0
Montego Bay,23,3,1,direct,154.73,1
Providenciales,32,5,1,agent,337.69,0
Aruba,63,3,1,direct,342.93,0
Castries,100,3,1,booking,261.01,0
Punta Cana,17,5,2,booking,175.33,0
Castries,165,2,2,direct,287.59,0
Bridgetown,16,6,3,booking,277.04,1
Castries,55,2,3,expedia,283.72,0
Bridgetown,36,2,2,expedia,357.35,0
Montego Bay,44,4,2,expedia,192.53,0
San Juan,111,7,3,booking,244.07,0
Providenciales,90,6,1,direct,283.27,0
Negril,80,5,1,direct,241.0,0
Montego Bay,31,4,3,direct,186.46,0
Aruba,69,5,2,booking,317.92,0
San Juan,43,4,2,booking,289.71,0
Providenciales,161,5,1,booking,489.95,1
Aruba,52,6,3,booking,263.61,0
Montego Bay,30,9,1,booking,187.09,0
San Juan,63,3,2,booking,190.08,0
Providenciales,32,3,1,booking,395.65,0
Bridgetown,73,2,2,direct,271.11,0
Nassau,54,6,1,direct,331.07,0
Aruba,13,1,3,booking,242.95,0
Grand Cayman,49,2,2,booking,335.32,0
Grand Cayman,48,4,1,direct,319.28,1
San Juan,34,5,2,agent,178.56,0
Negril,5,3,1,booking,215.13,0
Providenciales,5,4,1,expedia,434.79,1
Montego Bay,44,5,1,booking,257.03,0
Grand Cayman,6,2,3,booking,357.63,0
Providenciales,18,4,2,booking,347.75,1
Punta Cana,66,7,1,agent,183.67,0
Providenciales,129,8,1,agent,306.1,0
Nassau,64,4,4,direct,270.43,0
Providenciales,44,3,2,direct,368.26,0
Negril,15,2,3,direct,228.57,1
San Juan,73,6,2,booking,245.21,0
Nassau,6,5,2,expedia,352.09,0
Providenciales,151,1,3,agent,281.86,1
Aruba,83,5,1,agent,304.68,0
San Juan,82,1,1,expedia,251.1,0
Bridgetown,61,7,2,booking,312.66,0
Nassau,99,2,3,direct,317.07,0
Grand Cayman,66,5,3,direct,372.18,0
Bridgetown,89,4,4,direct,344.1,0
Providenciales,10,5,2,agent,347.35,0
Nassau,28,4,1,direct,307.69,0
Grand Cayman,46,2,3,direct,348.53,0
Bridgetown,102,4,2,direct,284.64,0
San Juan,34,3,4,booking,246.78,1
San Juan,15,4,3,booking,300.58,1
Aruba,53,2,2,booking,320.25,0
Punta Cana,104,2,2,booking,169.84,0
Grand Cayman,29,7,3,expedia,350.55,0
Aruba,98,5,1,direct,293.56,0
Castries,164,4,1,booking,210.77,0
Montego Bay,141,8,1,agent,234.03,0
Negril,191,5,1,direct,180.26,0
Nassau,41,6,1,booking,305.81,0
Providenciales,36,3,2,direct,317.52,0
Nassau,60,6,2,booking,313.88,0
Montego Bay,39,3,3,booking,204.41,0
Castries,95,2,3,booking,243.64,0
Castries,69,7,3,direct,266.88,0
Providenciales,26,3,2,booking,368.04,1
Aruba,55,8,2,agent,320.59,0
San Juan,84,3,1,direct,268.54,0
Providenciales,16,6,1,direct,414.0,0
Negril,57,4,2,direct,216.61,0
Bridgetown,83,4,3,agent,290.4,0
Aruba,17,4,1,expedia,327.24,0
Punta Cana,204,1,3,agent,280.06,1
Montego Bay,80,5,1,booking,230.23,0
Bridgetown,36,1,1,booking,279.3,1
Punta Cana,57,4,2,booking,142.94,0
Montego Bay,104,5,2,booking,257.14,0
Montego Bay,42,7,2,expedia,204.72,0
Providenciales,86,5,2,booking,333.96,0
Castries,63,2,1,direct,243.16,0
Castries,16,4,3,booking,139.04,0
San Juan,8,1,3,expedia,231.28,0
San Juan,65,4,2,direct,184.38,0
Punta Cana,10,6,2,direct,219.01,0
Punta Cana,57,5,4,expedia,123.86,0
Nassau,28,7,3,booking,297.51,0
Montego Bay,48,2,5,expedia,235.29,1
Montego Bay,35,6,2,expedia,217.22,0
Castries,3,8,1,booking,217.21,0
Negril,40,2,1,booking,168.05,0
Aruba,44,4,2,booking,311.97,0
Bridgetown,30,3,3,expedia,276.78,0
Punta Cana,71,2,2,direct,152.62,1
Bridgetown,90,5,2,agent,321.43,0
Grand Cayman,41,4,1,booking,365.52,0
San Juan,88,2,1,direct,256.75,0
Grand Cayman,55,3,2,direct,354.08,0
Nassau,66,3,1,agent,287.28,0
Negril,178,8,1,booking,148.91,1
Providenciales,36,4,1,booking,370.7,0
Providenciales,24,5,2,booking,360.64,0
Bridgetown,78,5,2,direct,278.09,0
Punta Cana,11,4,3,booking,199.54,0
Aruba,111,4,2,booking,284.85,1
Bridgetown,19,2,1,direct,293.78,0
Nassau,39,3,1,direct,249.58,0
Montego Bay,52,6,1,booking,281.33,0
Negril,34,9,2,expedia,182.78,0
Punta Cana,39,4,3,direct,206.76,0
Castries,14,2,1,booking,217.27,1
Nassau,92,4,3,direct,292.43,0
Punta Cana,45,3,3,booking,192.98,1
